reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
0,0,0,0,0,0,0,0
10000,69.9,7.00288540820168,87,7.32704402515723,8.06109909939221,6.59298895092226,9.11949685534591
20000,110.24,6.76759957742803,124,11.5555555555556,12.2649475448038,10.8461635663073,12.9979035639413
30000,140.63,7.61664180090099,159,14.7410901467505,15.5394802726311,13.9427000208699,16.6666666666667
40000,161.62,6.2178953209444,175,16.9412997903564,17.593070788359,16.2895287923538,18.3438155136268
50000,178.23,7.59831852744043,203,18.6823899371069,19.4788593844277,17.8859204897861,21.2788259958071
60000,193.4,7.71591559928914,212,20.272536687631,21.0813328720429,19.4637405032192,22.2222222222222
70000,205.27,6.35141756228521,219,21.5167714884696,22.1825385285414,20.8510044483978,22.9559748427673
80000,213.71,6.7768098331849,227,22.4014675052411,23.1118249301032,21.6911100803789,23.7945492662474
90000,223.11,6.1494764497525,238,23.3867924528302,24.0313916613996,22.7421932442607,24.9475890985325
1e+05,231.21,6.29942277297907,242,24.2358490566038,24.8961659091173,23.5755322040902,25.3668763102725
110000,236.96,6.42425957687819,253,24.8385744234801,25.511976894851,24.1651719521092,26.5199161425577
120000,242.83,5.79106766032522,258,25.4538784067086,26.0609085597825,24.8468482536347,27.0440251572327
130000,247.12,5.56191958724229,259,25.9035639412998,26.4865743802141,25.3205535023855,27.1488469601677
140000,251.45,5.06398453729268,264,26.3574423480084,26.8882583372424,25.8266263587744,27.6729559748428
150000,255.54,6.06433521634166,269,26.7861635220126,27.4218380729918,26.1504889710334,28.1970649895178
160000,258.46,5.22314197789148,270,27.0922431865828,27.6397423456909,26.5447440274747,28.3018867924528
170000,261.29,4.81431996939098,274,27.3888888888889,27.8935345879865,26.8842431897913,28.7211740041929
180000,264.56,4.7722260439067,275,27.7316561844864,28.2318895224221,27.2314228465507,28.8259958071279
190000,267.46,4.01114608675537,276,28.0356394129979,28.4560949776473,27.6151838483485,28.9308176100629
2e+05,269.19,4.28220419028247,278,28.2169811320755,28.6658494958367,27.7681127683142,29.1404612159329
210000,270.97,4.29576958921639,286,28.4035639412998,28.8538542546348,27.9532736279647,29.979035639413
220000,273.19,3.45445108855695,284,28.6362683438155,28.9983701350689,28.2741665525622,29.769392033543
230000,275.05,3.56292638773866,283,28.8312368972746,29.2047092649621,28.4577645295871,29.664570230608
240000,276.4,3.78727267878012,285,28.9727463312369,29.3697350816331,28.5757575808407,29.874213836478
250000,277.09,3.29706021488933,285,29.0450733752621,29.390677171372,28.6994695791521,29.874213836478
260000,278.35,3.45936001554792,286,29.1771488469602,29.5397652007912,28.8145324931292,29.979035639413
