reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
250000,260.02,7.95692951286659,280,27.2557651991614,28.0898248965269,26.421705501796,29.3501048218029
260000,263.44,9.35637847576819,284,27.6142557651992,28.5950082259715,26.6335033044268,29.769392033543
270000,268.7,7.71657012833127,288,28.1656184486373,28.9744832419634,27.3567536553112,30.188679245283
280000,271.62,8.64657344404316,291,28.4716981132075,29.3780475308221,27.565348695593,30.5031446540881
290000,273.84,8.66167688525995,292,28.7044025157233,29.6123351032767,27.7964699281698,30.6079664570231
3e+05,278.87,8.26047544306346,300,29.2316561844864,30.0975341135287,28.3657782554441,31.4465408805031
310000,280.68,7.18708156445587,307,29.4213836477987,30.174746495226,28.6680208003715,32.1802935010482
320000,285.24,7.53325288238082,308,29.8993710691824,30.6890202182789,29.1097219200859,32.2851153039832
330000,290.5,7.6587574486052,307,30.4507337526205,31.2535385166253,29.6479289886158,32.1802935010482
340000,290.97,8.56166579656793,314,30.5,31.3974492449233,29.6025507550767,32.9140461215933
350000,295.51,7.40528749126479,313,30.9758909853249,31.7521265714114,30.1996553992385,32.8092243186583
360000,298.4,7.15061627632983,314,31.2788259958071,32.0283664859884,30.5292855056258,32.9140461215933
370000,300.33,7.84709300867963,323,31.4811320754717,32.3036785124402,30.6585856385032,33.8574423480084
380000,303.64,7.91306297564765,323,31.8280922431866,32.6575537710322,30.9986307153409,33.8574423480084
390000,305.75,8.30525572919177,332,32.0492662473795,32.9198381267497,31.1786943680092,34.8008385744235
4e+05,307.42,7.57478539216615,334,32.2243186582809,33.0183213199336,31.4303159966283,35.0104821802935
410000,310.01,7.39300105819448,328,32.4958071278826,33.270754827903,31.7208594278622,34.3815513626834
420000,312.49,7.33676916756837,328,32.7557651991614,33.5248185710239,31.9867118272989,34.3815513626834
430000,315.41,8.62588891627753,338,33.0618448637317,33.966026091853,32.1576636356103,35.4297693920335
440000,317.42,7.04843273646022,332,33.272536687631,34.0113661149329,32.5337072603291,34.8008385744235
450000,319.55,6.87312876279057,340,33.4958071278826,34.2162608766028,32.7753533791624,35.6394129979036
460000,322.36,8.18661139059416,350,33.79035639413,34.6484917600204,32.9322210282396,36.6876310272537
470000,322.88,6.59090282131363,338,33.8448637316562,34.5357340483557,33.1539934149566,35.4297693920335
480000,325.1,7.36151609330029,340,34.0775681341719,34.8492155234067,33.3059207449371,35.6394129979036
490000,327.5,7.11450360996195,348,34.3291404612159,35.0748955565998,33.5833853658321,36.4779874213836
5e+05,328.59,7.01527194084737,344,34.4433962264151,35.1787496793341,33.7080427734961,36.0587002096436
510000,331.37,7.64972436289588,352,34.7348008385744,35.536658738249,33.9329429388998,36.8972746331237
520000,333.61,7.30143890620267,356,34.9696016771489,35.7349516673168,34.2042516869809,37.3165618448637
530000,334.51,6.78008819703667,349,35.0639412997904,35.7746423686621,34.3532402309186,36.5828092243187
540000,336,7.71722460186015,354,35.2201257861635,36.0290591825849,34.4111923897421,37.1069182389937
550000,337.14,7.52104119162105,357,35.3396226415094,36.1279917391636,34.5512535438552,37.4213836477987
560000,340.31,7.26788285624646,357,35.6719077568134,36.4337403413256,34.9100751723012,37.4213836477987
570000,341.79,6.92425833828819,358,35.8270440251572,36.5528572681644,35.1012307821501,37.5262054507338
580000,341.73,6.64975886249215,359,35.8207547169811,36.5177944300306,35.1237150039316,37.6310272536688
590000,342.29,7.1735977759075,356,35.8794549266247,36.631404379026,35.1275054742235,37.3165618448637
6e+05,345.85,6.43753984002578,359,36.2526205450734,36.9274150775708,35.5778260125759,37.6310272536688
610000,344.43,6.90081974342999,362,36.1037735849057,36.8271299521415,35.3804172176698,37.9454926624738
620000,348.12,7.3502284716775,365,36.4905660377359,37.2610302381213,35.7201018373504,38.2599580712788
630000,348.83,7.01089339974773,365,36.5649895178197,37.2998840041664,35.830095031473,38.2599580712788
640000,349.56,6.57101071511695,364,36.6415094339623,37.3302946242261,35.9527242436984,38.1551362683438
650000,352.29,7.16091382916223,372,36.9276729559748,37.6782928542099,36.1770530577398,38.9937106918239
660000,352.73,5.66908148190559,365,36.9737945492662,37.5680378911851,36.3795512073474,38.2599580712788
670000,353.46,6.8614278338544,369,37.0503144654088,37.7695417016619,36.3310872291557,38.6792452830189
680000,356.12,6.27530030670995,372,37.3291404612159,37.9869287533239,36.671352169108,38.9937106918239
690000,356.73,6.09164853042112,370,37.3930817610063,38.0316193428114,36.7545441792011,38.7840670859539
7e+05,359.24,5.71392062325763,377,37.6561844863732,38.2551279479306,37.0572410248158,39.517819706499
710000,358,5.97300323763245,372,37.5262054507338,38.152306419039,36.9001044824285,38.9937106918239
720000,359.73,6.4304436908044,374,37.7075471698113,38.3815978711535,37.0334964684691,39.2033542976939
730000,360.79,6.13204037755128,374,37.8186582809224,38.4614298089676,37.1758867528772,39.2033542976939
740000,360.86,5.87757250792014,379,37.8259958071279,38.4420935542893,37.2098980599664,39.727463312369
750000,362.37,6.42855844154532,374,37.9842767295598,38.6581298156756,37.3104236434439,39.2033542976939
760000,363.21,6.11884817839951,380,38.0723270440252,38.7137157419706,37.4309383460797,39.832285115304
770000,364.86,5.67827687620358,381,38.2452830188679,38.8404902385958,37.6500757991401,39.937106918239
780000,366.07,6.46084555244321,383,38.3721174004193,39.049354879711,37.6948799211275,40.146750524109
790000,366.15,6.05759394846208,381,38.3805031446541,39.0154710637801,37.7455352255281,39.937106918239
8e+05,366.58,5.40329117812057,377,38.4255765199161,38.9919592429896,37.8591937968427,39.517819706499
810000,369.68,5.66021022559938,383,38.7505241090147,39.3438375498532,38.1572106681762,40.146750524109
820000,369.44,5.66456288933866,386,38.7253668763103,39.3191365712095,38.131597181411,40.461215932914
830000,369.75,5.71790559946948,384,38.7578616352201,39.3572228091687,38.1585004612715,40.251572327044
840000,370.85,5.68424190729125,384,38.8731656184486,39.4689981034897,38.2773331334076,40.251572327044
850000,371.86,5.52134517352905,389,38.979035639413,39.5577929951288,38.4002782836972,40.7756813417191
860000,372.68,6.27626601981745,387,39.0649895178197,39.7228790377167,38.4070999979227,40.5660377358491
870000,372.15,5.57660155009167,386,39.0094339622642,39.5939833909949,38.4248845335334,40.461215932914
880000,374.03,6.0760417072534,388,39.206498951782,39.8434005982446,38.5695973053193,40.6708595387841
890000,374.97,5.50198311355262,388,39.3050314465409,39.8817592362215,38.7283036568603,40.6708595387841
9e+05,374.69,6.18681393502881,388,39.2756813417191,39.9241943328122,38.6271683506259,40.6708595387841
910000,375.86,5.48831633213831,387,39.398322851153,39.9736180641654,38.8230276381406,40.5660377358491
920000,377.24,5.3863276220933,391,39.5429769392034,40.1075815117498,38.9783723666569,40.9853249475891
930000,377.91,5.47555633444832,390,39.6132075471698,40.1871652342189,39.0392498601207,40.8805031446541
940000,378.13,5.80952718046883,393,39.6362683438155,40.2452334570722,39.0273032305588,41.1949685534591
950000,378.36,5.37957228595341,393,39.6603773584906,40.2242738245234,39.0964808924577,41.1949685534591
960000,379.55,5.36237358872454,391,39.7851153039832,40.3472089715644,39.223021636402,40.9853249475891
970000,379.76,4.64088114238856,389,39.8071278825996,40.2935934111518,39.3206623540473,40.7756813417191
980000,379.86,5.18159134715281,392,39.8176100628931,40.3607538099741,39.2744663158121,41.0901467505241
990000,381.51,4.90412112823532,393,39.9905660377358,40.5046248562092,39.4765072192625,41.1949685534591
1e+06,382.22,4.97586092241251,395,40.0649895178197,40.5865682308609,39.5434108047786,41.4046121593291
1010000,382.14,5.21462589572092,394,40.0566037735849,40.603210261606,39.5099972855638,41.2997903563941
