reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
0,0,0,0,0,0,0,0
10000,59.16,5.85294538646737,77,6.20125786163522,6.81477414952488,5.58774157374556,8.07127882599581
20000,98.87,7.02183463321101,114,10.3637316561845,11.0997730223492,9.62769029001981,11.9496855345912
30000,126.16,7.45995369227645,148,13.2243186582809,14.006284454117,12.4423528624448,15.5136268343816
40000,150,8.06538933037365,180,15.7232704402516,16.5686990912341,14.877841789269,18.8679245283019
50000,169.69,7.54875733970416,187,17.7872117400419,18.5784860943086,16.9959373857752,19.601677148847
60000,186.22,7.96910701814618,210,19.5199161425577,20.3552523079818,18.6845799771335,22.0125786163522
70000,201.75,7.85522408684472,217,21.1477987421384,21.97119749338,20.3243999908968,22.7463312368973
80000,212.74,8.76704112577385,229,22.2997903563941,23.2187674136031,21.3808132991851,24.0041928721174
90000,223.98,8.63511740077994,247,23.4779874213836,24.3831359958889,22.5728388468784,25.8909853249476
1e+05,236.71,8.24044595243179,257,24.8123689727463,25.6761473744687,23.9485905710239,26.9392033542977
110000,244.42,7.42529120607061,260,25.6205450733753,26.3988774849131,24.8422126618375,27.2536687631027
120000,252.64,8.44413609219051,272,26.482180293501,27.367309862913,25.597050724089,28.5115303983228
130000,259.79,8.42230684107701,281,27.2316561844864,28.1144975724399,26.3488147965328,29.4549266247379
140000,266.61,7.81334651979444,297,27.9465408805031,28.765549949664,27.1275318113423,31.1320754716981
150000,273.83,7.63042156983042,290,28.7033542976939,29.5031888437977,27.9035197515901,30.398322851153
160000,279.2,8.18843727768034,300,29.2662473794549,30.1245741381216,28.4079206207882,31.4465408805031
170000,286.58,8.12674845212034,307,30.0398322851153,30.8916927098659,29.1879718603647,32.1802935010482
180000,291.49,8.04845803664757,311,30.5545073375262,31.3981612197744,29.710853455278,32.5995807127883
190000,296.72,8.00136352016443,317,31.1027253668763,31.9414427169984,30.2640080167543,33.2285115303983
2e+05,302.84,7.89414819708724,327,31.7442348008386,32.5717136474934,30.9167559541837,34.2767295597484
210000,307.73,6.99184951182157,326,32.2568134171908,32.9897116888702,31.5239151455114,34.1719077568134
220000,310.41,8.04167804992129,331,32.5377358490566,33.3806790408723,31.694792657241,34.6960167714885
230000,315.01,7.50150826585069,335,33.0199161425577,33.806237763716,32.2335945213993,35.1153039832285
